age_AD	d2HiceVSMOW	d2HiceVSMOW11
1079.5		-144.54
1078.5		-145.79
1077.5		-146.92
1076.5		-148.80
1075.5		-151.22
1074.5		-152.37
1073.5		-152.51
1072.5		-155.66
1071.5		-156.12
1070.5		-157.64
1069.5		-156.70
1068.5		-156.91
1067.5		-157.68
1066.5		-157.03
1065.5		-157.60
1064.5		-156.74
1063.5		-156.29
1062.5		-156.61
1061.5		-154.05
1060.5		-154.55
1059.5		-154.39
1058.5		-154.93
1057.5		-154.83
1056.5		-154.57
1055.5		-154.57
1054.5		-153.10
1053.5		-151.17
1052.5		-150.12
1051.5		-150.12
1050.5		-151.15
1049.5		-152.33
1048.5		-151.79
1047.5		-151.79
1046.5		-151.81
1045.5		-150.58
1044.5		-150.58
1043.5		-149.60
1042.5		-152.63
1041.5		-153.83
1040.5		-153.53
1039.5		-154.33
1038.5		-155.31
1037.5		-156.24
1036.5		-156.04
1035.5		-154.12
1034.5		-154.20
1033.5		-154.46
1032.5		-155.09
1031.5		-153.42
1030.5		-153.66
1029.5		-154.38
1028.5		-153.91
1027.5		-153.59
1026.5		-153.11
1025.5		-152.89
1024.5		-152.79
1023.5		-152.79
1022.5		-153.01
1021.5		-153.76
1020.5		-151.68
1019.5		-150.72
1018.5		-149.80
1017.5		-148.40
1016.5		-146.54
1015.5		-145.21
1014.5		-145.86
1013.5		-146.41
1012.5		-146.05
1011.5		-144.97
1010.5		-144.97
1009.5		-147.26
1008.5		-147.40
1007.5		-147.40
1006.5		-147.40
1005.5		-147.93
1004.5		-149.01
1003.5		-148.77
1002.5		-148.77
1001.5		-148.48
1000.5		-147.99
